ICSD Code,Formula,Chemical Formula,Space Group,Validation Status,Measurement Conditions,Compound Class,Year,Journal,GII,Failure Mode,Disorder Type
44879,F1 Li1,F1 Li1,F m -3 m,Validated,Ambient,Fluoride,1955.0,Acta Crystallographica,0.0268,,pure
52234,F1 Li1,F1 Li1,F m -3 m,Validated,Ambient,Fluoride,1936.0,"Proceedings of the Physical Society, London",0.0148,,pure
53839,F1 Li1,F1 Li1,F m -3 m,Validated,Ambient,Fluoride,1916.0,Physikalische Zeitschrift,0.0217,,pure
62361,F1 Li1,F1 Li1,F m -3 m,Validated,Ambient,Fluoride,1988.0,Naturwissenschaften,0.0259,,pure
198097,F1 Li1,F1 Li1,F m -3 m,Validated,Ambient,Fluoride,1949.0,"Journal of Applied Physics (Melville, NY, United States)",0.027,,pure
29128,F1 Na1,F1 Na1,F m -3 m,Borderline,Ambient,Fluoride,1920.0,"Nature (London, United Kingdom)",0.1265,,pure
41410,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,1988.0,Kristallografiya,0.0931,,pure
41438,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,1990.0,Physical Review B: Condensed Matter and Materials Physics,0.0669,,pure
43611,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,1961.0,Acta Crystallographica,0.064,,pure
52238,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,1936.0,"Proceedings of the Physical Society, London",0.0412,,pure
53821,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,1919.0,Transactions of the American Institute of Electrical Engineers,0.0698,,pure
53840,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,1918.0,Physikalische Zeitschrift,0.0858,,pure
117382,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,1927.0,"Zentralblatt fuer Mineralogie, Geologie und Palaeontologie",0.0931,,pure
117383,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,1927.0,"Zentralblatt fuer Mineralogie, Geologie und Palaeontologie",0.0858,,pure
262837,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,2012.0,Journal of Solid State Chemistry,0.062,,pure
262838,F1 Na1,F1 Na1,F m -3 m,Validated,Ambient,Fluoride,2012.0,Journal of Solid State Chemistry,0.0601,,pure
22172,Br0.4 I0.6 K1,Br0.4 I0.6 K1,F m -3 m,Failed,Ambient,Iodide,1969.0,"Annales Academiae Scientiarum Fennicae, Series A6: Physica",0.263,Type3_Vacancy,pure
27983,I1 Li1,I1 Li1,F m -3 m,Failed,Ambient,Iodide,1923.0,Physikalische Zeitschrift,0.2829,Type6_Anomaly,pure
53820,I1 Li1,I1 Li1,F m -3 m,Failed,Ambient,Iodide,1922.0,Journal of the Washington Academy of Sciences,0.328,Type6_Anomaly,pure
414244,I1 Li1,I1 Li1,F m -3 m,Failed,Ambient,Iodide,2004.0,Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE),0.2961,Type6_Anomaly,pure
52240,I1 Na1,I1 Na1,F m -3 m,Validated,Ambient,Iodide,1936.0,"Proceedings of the Physical Society, London",0.0476,,pure
53823,I1 Na1,I1 Na1,F m -3 m,Validated,Ambient,Iodide,1922.0,Journal of the Washington Academy of Sciences,0.0386,,pure
61502,I1 Na1,I1 Na1,F m -3 m,Validated,Ambient,Iodide,1955.0,National Bureau of Standards Circular (U. S.),0.045,,pure
61503,I1 Na1,I1 Na1,F m -3 m,Validated,Ambient,Iodide,1955.0,National Bureau of Standards Circular (U. S.),0.0437,,pure
61504,I1 Na1,I1 Na1,F m -3 m,Validated,Ambient,Iodide,1955.0,National Bureau of Standards Circular (U. S.),0.032,,pure
76656,Cl2 K1 Rb1,Cl2 K1 Rb1,F m -3 m,Validated,Ambient,Other,1950.0,Suomen Kemistilehti B,0.1989,Type6_Anomaly,homovalent
61630,O0.9 V1,O0.9 V1,F m -3 m,Failed,Ambient,Other,1967.0,Monatshefte fuer Chemie,0.4857,Type3_Vacancy,pure
26961,Ba1 O1,Ba1 O1,F m -3 m,Failed,Ambient,Oxide,1922.0,Zeitschrift fuer Physik,0.1978,Type6_Anomaly,pure
52278,Ba1 O1,Ba1 O1,F m -3 m,Failed,Ambient,Oxide,1933.0,Zeitschrift fuer Physik,0.2144,Type6_Anomaly,pure
